en_word,en_pos,en_gloss,en_example,de_word,de_example
impression,noun,"A vague of an event , a belief .",I have the impression that he 's already left for Paris .,Eindruck,"Ich habe den Eindruck, dass er bereits nach Paris abgereist ist."
pity,noun,A feeling of sympathy at the misfortune or suffering of someone or something .,"I ca n't feel any pity towards the gang , who got injured while attempting to break into a flat .",Mitleid,"Ich habe kein Mitleid mit der Bande, die bei dem Versuch, in eine Wohnung einzubrechen, verletzt wurde."
globalist,noun,An advocate of globalism .,You are either a globalist or a nationalist ; one can not be both .,Globalist,Man ist entweder ein Globalist oder ein Nationalist; man kann nicht beides sein.
election,noun,"A process of choosing a leader , members of parliament , councillors or other representatives by popular vote .",The parliamentary election ( s ) will be held in March .,Wahl,Die Parlamentswahl(en) finden im März statt.
unused,adjective,Not used .,"If you have an unused credit for a year for which you also have additional tax liability because of an early disposal of an asset , you may reduce the added tax liability by the current year 's unused credit that may be carried back solely because of recomputation of the investment credit for the prior year .",ungenutzte,"Wenn Sie ein ungenutztes Guthaben für ein Jahr haben, für das Sie auch eine zusätzliche Steuerschuld aufgrund einer vorzeitigen Veräußerung eines Wirtschaftsguts haben, können Sie die zusätzliche Steuerschuld um das ungenutzte Guthaben des laufenden Jahres reduzieren, das nur aufgrund der Neuberechnung des Investitionsguthabens für das Vorjahr zurückgetragen werden kann."
eighty-first,adjective,"The ordinal form of the number eighty-one , describing a person or thing in position number 81 of a sequence .",The answer appears on the eighty-first page of the book .,einundachtzigste,Die Antwort steht auf der einundachtzigsten Seite des Buches.
peppery,adjective,Having a fiery temperament .,a peppery old Army major,,
contain,verb,To have as an element or subset .,If that subgraph contains the vertex in question then it must be spanning .,enthält,"Wenn dieser Teilgraph den fraglichen Knoten enthält, muss er übergreifend sein."
tight,adjective,"Narrow , such that it is difficult for something or someone to pass through it .","England squeezed high and dominated the ball , penning Iceland back but the hosts kept the lines tight and it became clear that England would have to work for their openings .",eng,"England drückte hoch und dominierte den Ball, drängte Island zurück, aber die Gastgeber hielten die Linien eng und es wurde klar, dass England für seine Öffnungen arbeiten musste."
upright,adjective,Vertical ; erect .,"I was standing upright , waiting for my orders .",aufrecht,Ich habe aufrecht gestanden und auf meine Befehle gewartet.
kitchen,noun,A room or area for preparing food .,We cook in the kitchen .,Küche.,Wir kochen in der Küche.
